ticker,close,open,high,low,volume,change_%,value_traded,rvol,atr,perf_1m,perf_3m,volatility,tarih,z_vol,z_range,z_lambda,z_flow,shock_count,is_fresh_shock,shock_score,regime,score_diff
HUNER,4.0,4.02,4.12,3.93,84894433.0,1.010101010101011,339577732.0,1.851741102830078,1.0,16.618075801749267,3.896103896103894,4.834605597964375,2026-08-31,1.87,-2.0,0.06,0.0,1,True,32.5,NÖTR REJİM,0.0
ARSAN,4.43,4.23,4.57,4.23,35187932.0,3.990610328638496,155882538.76,0.817580080082435,1.0,34.65045592705166,28.405797101449263,8.037825059101651,2026-08-31,-0.4,-1.65,0.46,1.45,0,False,32.3,NÖTR REJİM,0.0
TEHOL,36.28,36.54,37.88,36.02,46472296.0,0.777777777777781,1686014898.88,0.558164006957208,1.0,-21.978494623655912,28.74378992193045,5.2193225985563645,2026-08-31,-0.97,2.15,0.01,0.0,1,True,25.0,NÖTR REJİM,0.0
PETKM,20.14,20.32,20.4,19.91,69559825.0,0.49900199600799117,1400934875.5,1.0934979181584956,1.0,6.7868504772004306,-11.975524475524468,2.4610748367654365,2026-08-31,0.21,-1.28,0.01,0.0,0,False,22.4,NÖTR REJİM,0.0
SVGYO,17.79,17.68,18.0,17.65,15747309.0,0.5084745762711856,280144627.11,0.3476824636572811,1.0,36.84615384615384,-6.319115323854657,1.983002832861198,2026-08-31,-1.44,-1.62,0.04,0.57,0,False,19.1,NÖTR REJİM,0.0
KTLEV,65.05,68.0,68.05,63.1,106223145.0,-5.724637681159424,6909815582.25,1.0258648280615066,1.0,41.37278788424298,69.47308008311407,9.35023771790808,2026-08-31,0.06,6.0,0.02,0.0,1,False,0.0,NÖTR REJİM,0.0
ISCTR,12.63,12.8,12.8,12.54,442781692.0,-1.250977326035953,5592332769.96,0.7098532716385914,1.0,4.380165289256208,-4.390613171839516,2.073365231259981,2026-08-31,-0.64,-1.85,0.0,0.0,0,True,0.0,NÖTR REJİM,0.0
TKNKA,158.3,166.0,182.4,153.0,41489013.0,-4.581072935503312,6567710757.900001,1.0,1.0,68.58359957401491,68.58359957401491,19.215686274509807,2026-08-31,0.0,6.0,0.01,0.0,1,False,0.0,NÖTR REJİM,0.0
BSOKE,26.3,28.38,28.5,26.3,2870846.0,-9.993155373032165,75503249.8,0.3544337984867,1.0,-26.536312849162005,-31.259801359121795,11.102661596958168,2026-08-31,-1.42,3.0,1.69,0.0,2,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
KATMR,2.07,2.12,2.13,2.05,36280528.0,-2.358490566037748,75100692.96,0.4288105021434901,1.0,-6.756756756756772,-27.874564459930323,3.902439024390248,2026-08-31,-1.26,-2.0,0.55,0.0,0,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
DARDL,1.66,1.69,1.76,1.64,45190374.0,-1.1904761904761916,75016020.84,3.068942888450603,1.0,-0.5988023952095815,-29.957805907173,7.317073170731714,2026-08-31,4.55,-2.0,0.29,0.0,1,False,0.0,🪤 DÜŞEN BIÇAK TUZAĞI,0.0
MERCN,17.27,18.12,18.18,17.01,4342311.0,-4.690949227373076,74991710.97,0.9394070875027262,1.0,-17.28927203065134,-24.387040280210158,6.878306878306867,2026-08-31,-0.13,0.42,0.97,0.0,0,False,0.0,NÖTR REJİM,0.0
